Cidade,CodigoDaCidade,Data,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
Aparecida,3502507,2022-09-06 18:00:00,Sudeste,BR,-22.8469,-45.2297,24.51,23.02,23.765,Não,0.0,nublado,1662455204,1662497536,4.24
Aparecida,3502507,2022-09-06 21:00:00,Sudeste,BR,-22.8469,-45.2297,19.75,18.48,19.115000000000002,Não,0.04,nublado,1662455204,1662497536,6.62
Aparecida,3502507,2022-09-07 00:00:00,Sudeste,BR,-22.8469,-45.2297,14.83,14.83,14.83,Sim,0.39,chuva leve,1662455204,1662497536,1.6
Aparecida,3502507,2022-09-07 03:00:00,Sudeste,BR,-22.8469,-45.2297,14.04,14.04,14.04,Não,0.07,nublado,1662455204,1662497536,1.16
Aparecida,3502507,2022-09-07 06:00:00,Sudeste,BR,-22.8469,-45.2297,13.22,13.22,13.22,Não,0.07,nublado,1662455204,1662497536,1.26
Aparecida,3502507,2022-09-07 09:00:00,Sudeste,BR,-22.8469,-45.2297,12.68,12.68,12.68,Não,0.0,nublado,1662455204,1662497536,1.18
Aparecida,3502507,2022-09-07 12:00:00,Sudeste,BR,-22.8469,-45.2297,20.34,20.34,20.34,Não,0.0,nublado,1662455204,1662497536,2.65
Aparecida,3502507,2022-09-07 15:00:00,Sudeste,BR,-22.8469,-45.2297,27.53,27.53,27.53,Não,0.0,nuvens dispersas,1662455204,1662497536,3.49
Aparecida,3502507,2022-09-07 18:00:00,Sudeste,BR,-22.8469,-45.2297,29.31,29.31,29.31,Sim,0.24,chuva leve,1662455204,1662497536,4.06
Aparecida,3502507,2022-09-07 21:00:00,Sudeste,BR,-22.8469,-45.2297,21.25,21.25,21.25,Sim,0.4,chuva leve,1662455204,1662497536,4.73
Aparecida,3502507,2022-09-08 00:00:00,Sudeste,BR,-22.8469,-45.2297,17.11,17.11,17.11,Sim,0.4,chuva leve,1662455204,1662497536,1.1
Aparecida,3502507,2022-09-08 03:00:00,Sudeste,BR,-22.8469,-45.2297,14.97,14.97,14.97,Não,0.0,nuvens dispersas,1662455204,1662497536,1.23
Aparecida,3502507,2022-09-08 06:00:00,Sudeste,BR,-22.8469,-45.2297,14.7,14.7,14.7,Não,0.0,nuvens dispersas,1662455204,1662497536,3.89
Aparecida,3502507,2022-09-08 09:00:00,Sudeste,BR,-22.8469,-45.2297,14.69,14.69,14.69,Não,0.0,céu limpo,1662455204,1662497536,4.27
Aparecida,3502507,2022-09-08 12:00:00,Sudeste,BR,-22.8469,-45.2297,25.23,25.23,25.23,Não,0.0,algumas nuvens,1662455204,1662497536,3.27
Aparecida,3502507,2022-09-08 15:00:00,Sudeste,BR,-22.8469,-45.2297,34.21,34.21,34.21,Não,0.0,céu limpo,1662455204,1662497536,3.86
Aparecida,3502507,2022-09-08 18:00:00,Sudeste,BR,-22.8469,-45.2297,34.21,34.21,34.21,Não,0.0,céu limpo,1662455204,1662497536,4.56
Aparecida,3502507,2022-09-08 21:00:00,Sudeste,BR,-22.8469,-45.2297,25.62,25.62,25.62,Não,0.0,algumas nuvens,1662455204,1662497536,1.61
Aparecida,3502507,2022-09-09 00:00:00,Sudeste,BR,-22.8469,-45.2297,21.41,21.41,21.41,Não,0.0,algumas nuvens,1662455204,1662497536,1.11
Aparecida,3502507,2022-09-09 03:00:00,Sudeste,BR,-22.8469,-45.2297,19.92,19.92,19.92,Não,0.0,céu limpo,1662455204,1662497536,1.21
Aparecida,3502507,2022-09-09 06:00:00,Sudeste,BR,-22.8469,-45.2297,18.78,18.78,18.78,Não,0.0,céu limpo,1662455204,1662497536,1.85
Aparecida,3502507,2022-09-09 09:00:00,Sudeste,BR,-22.8469,-45.2297,18.07,18.07,18.07,Não,0.0,céu limpo,1662455204,1662497536,2.05
Aparecida,3502507,2022-09-09 12:00:00,Sudeste,BR,-22.8469,-45.2297,28.59,28.59,28.59,Não,0.0,algumas nuvens,1662455204,1662497536,2.82
Aparecida,3502507,2022-09-09 15:00:00,Sudeste,BR,-22.8469,-45.2297,36.36,36.36,36.36,Não,0.0,céu limpo,1662455204,1662497536,4.38
Aparecida,3502507,2022-09-09 18:00:00,Sudeste,BR,-22.8469,-45.2297,37.16,37.16,37.16,Não,0.0,céu limpo,1662455204,1662497536,2.8
Aparecida,3502507,2022-09-09 21:00:00,Sudeste,BR,-22.8469,-45.2297,27.56,27.56,27.56,Não,0.0,algumas nuvens,1662455204,1662497536,1.27
Aparecida,3502507,2022-09-10 00:00:00,Sudeste,BR,-22.8469,-45.2297,23.87,23.87,23.87,Não,0.0,céu limpo,1662455204,1662497536,1.4
Aparecida,3502507,2022-09-10 03:00:00,Sudeste,BR,-22.8469,-45.2297,22.95,22.95,22.95,Não,0.0,nuvens dispersas,1662455204,1662497536,1.36
Aparecida,3502507,2022-09-10 06:00:00,Sudeste,BR,-22.8469,-45.2297,21.56,21.56,21.56,Não,0.0,algumas nuvens,1662455204,1662497536,1.93
Aparecida,3502507,2022-09-10 09:00:00,Sudeste,BR,-22.8469,-45.2297,20.0,20.0,20.0,Não,0.0,céu limpo,1662455204,1662497536,2.16
Aparecida,3502507,2022-09-10 12:00:00,Sudeste,BR,-22.8469,-45.2297,30.91,30.91,30.91,Não,0.0,céu limpo,1662455204,1662497536,3.62
Aparecida,3502507,2022-09-10 15:00:00,Sudeste,BR,-22.8469,-45.2297,38.29,38.29,38.29,Não,0.0,céu limpo,1662455204,1662497536,3.05
Aparecida,3502507,2022-09-10 18:00:00,Sudeste,BR,-22.8469,-45.2297,37.62,37.62,37.62,Não,0.0,céu limpo,1662455204,1662497536,3.19
Aparecida,3502507,2022-09-10 21:00:00,Sudeste,BR,-22.8469,-45.2297,28.54,28.54,28.54,Não,0.0,nublado,1662455204,1662497536,3.68
Aparecida,3502507,2022-09-11 00:00:00,Sudeste,BR,-22.8469,-45.2297,22.36,22.36,22.36,Não,0.0,nublado,1662455204,1662497536,1.47
Aparecida,3502507,2022-09-11 03:00:00,Sudeste,BR,-22.8469,-45.2297,18.62,18.62,18.62,Não,0.02,céu limpo,1662455204,1662497536,2.23
Aparecida,3502507,2022-09-11 06:00:00,Sudeste,BR,-22.8469,-45.2297,16.17,16.17,16.17,Não,0.02,algumas nuvens,1662455204,1662497536,1.94
Aparecida,3502507,2022-09-11 09:00:00,Sudeste,BR,-22.8469,-45.2297,17.83,17.83,17.83,Não,0.05,nublado,1662455204,1662497536,1.76
Aparecida,3502507,2022-09-11 12:00:00,Sudeste,BR,-22.8469,-45.2297,22.33,22.33,22.33,Não,0.05,nublado,1662455204,1662497536,2.8
Aparecida,3502507,2022-09-11 15:00:00,Sudeste,BR,-22.8469,-45.2297,30.93,30.93,30.93,Não,0.0,nuvens dispersas,1662455204,1662497536,3.26
Arapeí,3503158,2022-09-06 18:00:00,Sudeste,BR,-22.6739,-44.4478,19.97,18.6,19.285,Não,0.0,nublado,1662455011,1662497354,3.63
Arapeí,3503158,2022-09-06 21:00:00,Sudeste,BR,-22.6739,-44.4478,17.88,17.87,17.875,Não,0.0,nublado,1662455011,1662497354,4.31
Arapeí,3503158,2022-09-07 00:00:00,Sudeste,BR,-22.6739,-44.4478,15.06,15.06,15.06,Não,0.0,nublado,1662455011,1662497354,1.58
Arapeí,3503158,2022-09-07 03:00:00,Sudeste,BR,-22.6739,-44.4478,13.85,13.85,13.85,Não,0.0,nublado,1662455011,1662497354,3.39
Arapeí,3503158,2022-09-07 06:00:00,Sudeste,BR,-22.6739,-44.4478,12.39,12.39,12.39,Não,0.0,nublado,1662455011,1662497354,2.81
Arapeí,3503158,2022-09-07 09:00:00,Sudeste,BR,-22.6739,-44.4478,11.64,11.64,11.64,Não,0.0,nublado,1662455011,1662497354,1.74
Arapeí,3503158,2022-09-07 12:00:00,Sudeste,BR,-22.6739,-44.4478,18.16,18.16,18.16,Não,0.0,nublado,1662455011,1662497354,2.76
Arapeí,3503158,2022-09-07 15:00:00,Sudeste,BR,-22.6739,-44.4478,24.58,24.58,24.58,Não,0.0,nublado,1662455011,1662497354,2.84
Arapeí,3503158,2022-09-07 18:00:00,Sudeste,BR,-22.6739,-44.4478,26.69,26.69,26.69,Não,0.0,nuvens dispersas,1662455011,1662497354,3.57
Arapeí,3503158,2022-09-07 21:00:00,Sudeste,BR,-22.6739,-44.4478,19.86,19.86,19.86,Não,0.11,céu limpo,1662455011,1662497354,1.63
